# Constructed from biom file
OTU_ID	NAS_CST_1	NAS_CST_2	NAS_CST_3	NAS_CST_4	NAS_CST_5	NAS_CST_6	NAS_CST_7	REC_CST_1	REC_CST_2	REC_CST_3	REC_CST_4	REC_CST_5	REC_CST_6	THR_CST_1	THR_CST_2	THR_CST_3	THR_CST_4	THR_CST_5	THR_CST_6
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];Other;Other;Other;Other	3.74790542204e-06	1.18538176669e-05	3.21629401839e-06	2.32815063574e-05	1.74977081648e-06	0.0	8.1601428025e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__	3.74790542204e-06	8.78060567916e-08	2.14419601226e-06	8.0533512557e-06	1.50188661748e-05	3.69451238242e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__;s__	0.0	2.28295747658e-06	8.18693022864e-06	2.63564222914e-05	1.89558505118e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;Other;Other;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2091715922e-07	1.33293179373e-05	7.24245469e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;Other;Other;Other	0.0	0.0	2.14419601226e-06	0.0	1.74977081648e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	0.0	1.0536726815e-06	3.89853820411e-05	8.63904952884e-06	1.96849216854e-05	1.18752183721e-05	0.0	0.0	0.0	5.21570413744e-06	2.34361634063e-06	1.20707578167e-07	7.23965547348e-06	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874;g__;s__	0.0	0.0	2.21242043084e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__;s__	0.0	1.40489690866e-06	3.90828454963e-05	2.48921766085e-06	1.92474789812e-05	2.9819992801e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__;s__	8.71605912103e-08	7.72693299766e-06	0.0	9.66402150684e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia;s__	0.0	0.0	0.0	0.0	5.97838362296e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__;s__	0.0	0.0	4.87317275514e-07	0.0	0.0	7.91681224805e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48366863688e-07	0.0	2.41415156333e-07	2.31668975151e-06	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other;Other;Other	0.00164027516599	1.28196842916e-05	0.000109938777356	5.88626764508e-05	8.63220269462e-05	4.09035299482e-05	1.02001785031e-06	0.00682642500069	1.7970073889e-05	0.00663189199419	0.00327315317173	0.00724148902937	0.00101818514579	3.76386873673e-05	2.19686679928e-06	8.50864872235e-06	1.41203277853e-05	0.000128309591683	2.13207959764e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__	0.0	1.14147873829e-06	3.36248920105e-05	8.0533512557e-06	4.37442704119e-06	3.16672489922e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06358109029e-06	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;Other;Other	0.0	0.0	0.0	9.0783232337e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20707578167e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__;s__	0.0	0.0	8.77171095926e-07	0.0	7.14489750061e-06	0.0	5.10008925156e-07	0.00042166170194	0.0	1.24183431844e-07	5.85904085158e-07	9.72903080023e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00120929579736	3.12523024157e-07	0.000402602686038	0.000414527140249	0.00084929851998	2.31668975151e-06	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;Other	0.0	0.0	5.55541694086e-06	1.06889934848e-05	1.44356092359e-05	1.58336244961e-05	1.02001785031e-06	0.000624903036536	5.46915292275e-07	0.000303876857722	0.00132106723601	0.00540782020944	0.00010106559041	3.85983139574e-05	3.88113134539e-05	9.50841494723e-05	2.6828622792e-05	0.000167360336978	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__	3.81763389501e-05	0.000221183457058	0.00174323135797	0.00259874323793	0.00671110015236	0.0026661184714	0.00017799311488	0.00863046289939	0.00123399716088	0.000440230265887	0.00102298853269	0.000775666897299	0.00152061723565	0.0023878708317	0.00708504188546	0.00838633689697	0.00269234307071	0.0256474794057	0.00404712442598
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__europaeus	0.0	0.0	9.74634551029e-08	4.39273704856e-07	6.41582632708e-06	0.0	0.0	0.000833762584552	0.0	0.000659662389955	3.95485257481e-06	2.28137322735e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__hyovaginalis	0.0	2.63418170375e-07	0.0	0.0	0.0	2.63893741602e-07	0.0	0.0	0.0	0.0	1.02533214903e-06	3.37981218866e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__	0.0	0.0	6.8224418572e-07	0.0	2.77047045942e-06	0.0	0.0	1.97130295437e-07	0.0	7.56277099929e-05	9.38911296465e-05	0.000676324560467	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__	0.0	8.78060567916e-08	0.0	7.90692668742e-06	0.0	0.0	0.0	0.000140652465794	1.56261512079e-07	8.44447336539e-06	0.000345976362286	0.00193699450684	4.05420706515e-06	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__	2.61481773631e-07	0.0	0.0	0.0	0.0	0.0	0.0	4.9381139007e-05	1.53917589397e-05	4.34642011454e-06	3.95485257481e-05	2.61935444622e-05	1.73751731364e-06	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__	0.0	9.65866624707e-07	3.89853820411e-07	1.8449495604e-05	4.81186974531e-06	5.27787483203e-07	0.0	0.00326063365168	0.000112586419453	0.00503948784766	0.0016422891507	0.00467959139036	0.000241804492814	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bogoriellaceae;g__Georgenia;s__	0.0	3.51224227166e-07	0.0	0.0	2.62465622471e-06	5.27787483203e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;Other	0.0	0.0	0.0	2.92849136571e-07	0.0	0.0	0.0	0.0	1.32822285267e-06	0.0	1.46476021289e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__	9.58766503313e-07	1.32587145755e-05	3.98625531371e-05	0.000125778704157	8.39889991909e-05	1.74169869457e-05	3.57006247609e-06	0.0	6.25046048314e-07	0.0	1.46476021289e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__aureum	6.01408079351e-06	1.58050902225e-06	0.0	5.57877605168e-05	6.0075464699e-05	1.58336244961e-06	0.0	0.0	0.0	4.96733727376e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__casei	3.48642364841e-07	2.63418170375e-06	8.77171095926e-07	2.049943956e-06	1.82267793383e-05	1.84725619121e-06	4.59008032641e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__paucivorans	7.40865025287e-06	2.37076353337e-06	1.26702491634e-05	2.21101098111e-05	5.24931244943e-06	2.11114993281e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;Other;Other	0.0	0.0	0.0	1.03961443483e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea;s__	0.0	0.0	7.79707640823e-07	0.0	6.70745479649e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__	0.0	0.0	0.0	0.0	5.83256938826e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__xylanilytica	0.0	6.40984214578e-06	0.0	0.0	2.11430640324e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Demequina;s__	0.0	3.51224227166e-07	5.16556312045e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Oerskovia;s__	0.0	0.0	0.0	2.03530149917e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.53062166953e-06	0.0	9.41812092408e-05	6.97026022305e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;Other	0.028205951761	0.0171089223598	0.00752554322231	0.00744525002361	0.00319362336854	0.00187945122769	5.25309192911e-05	0.000127149040557	0.00136213160079	4.22223668269e-06	1.97742628741e-05	4.7075955485e-05	4.34379328409e-06	4.79813295051e-06	1.46457786619e-06	0.0	9.11769736991e-05	6.56315046974e-07	3.00677891975e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.297850750562	0.274345195112	0.558554776801	0.0759630160825	0.0451809780665	0.0565400258194	0.0219987249777	0.0211803688978	0.0140443940518	0.0121529631905	0.0410377474566	0.0220817615195	0.0199133963454	0.000301642624822	0.000336852909223	0.0035985202609	0.00410760335273	0.000456138957647	0.0233254974852
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__aurimucosum	4.41904197436e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__bovis	0.00127332907699	9.27231959719e-05	0.000461099606092	0.000168973951801	2.62465622471e-06	0.0	0.00247915338518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__durum	0.0	1.06245328718e-05	1.30601029838e-05	1.17139654628e-05	0.000194516189098	3.43061864082e-06	1.02001785031e-06	0.0	2.96896872949e-06	0.0	0.0	0.0	0.0	1.06625176678e-07	1.6110356528e-06	2.61640948212e-05	5.42624024891e-05	2.6252601879e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__kroppenstedtii	0.00287760691881	7.2879027137e-05	5.86729999719e-05	0.000120946693404	0.000159229144299	6.04316668268e-05	7.59913298483e-05	4.02145802692e-05	0.000109773712235	0.0	0.0	1.33985411765e-05	1.73751731364e-06	3.35869306535e-05	2.72411483111e-05	6.42402978538e-05	1.81547071525e-06	0.0	8.20030614476e-07
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__mastitidis	0.00105786809552	0.000716497423419	1.75434219185e-06	0.00495735018387	1.21025814806e-05	0.00123027262335	4.59008032641e-06	0.000227882621525	4.68784536236e-07	0.000634577336722	0.000196131392507	3.13839703233e-06	2.60627597045e-06	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__simulans	1.72577970596e-05	2.54637564696e-06	4.58078238984e-06	0.000847505401236	2.0851435563e-05	0.0	0.000138212418717	1.80374220325e-05	3.36743558529e-05	2.23530177319e-06	4.14527140249e-05	2.29344398517e-06	2.89586218939e-06	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__stationis	0.0	1.75612113583e-07	9.74634551029e-08	8.78547409713e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__variabile	0.0	9.85183957201e-05	9.51243321804e-05	1.91816184454e-05	6.70745479649e-05	1.76808806873e-05	0.0	0.0	0.0	3.72550295532e-07	1.59658863205e-05	1.68990609433e-06	8.68758656818e-07	0.0	3.9543602387e-06	6.38148654176e-07	2.21890865197e-06	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;Other;Other	0.0	8.78060567916e-07	3.80107474901e-06	0.0	1.74977081648e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__;s__	0.0	1.84392719262e-06	1.78358122838e-05	1.46424568285e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;Other	1.74321182421e-07	0.0	1.46195182654e-06	0.0	0.0	4.48619360723e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__	1.30740886815e-06	2.80979381733e-06	8.77171095926e-06	0.000172780990577	6.91159472508e-05	7.83764412557e-05	1.02001785031e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__conglomeratum	8.01877439135e-06	1.93173324941e-06	5.48719252229e-05	2.00601658551e-05	0.000113151846132	1.63614119793e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06625176678e-07	4.83310695841e-06	1.70172974447e-06	4.03437936722e-07	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter;s__	0.00273100280439	3.63517075117e-05	1.15981511572e-05	6.88195470942e-05	1.22483957153e-05	0.0	0.0	0.000501203776149	0.000224782185125	0.000325733141727	7.76322912834e-06	1.0863682035e-06	6.6604830356e-06	3.39068061836e-05	7.32288933093e-07	0.0	0.0	1.08291982751e-05	4.6468401487e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus;s__	4.53235074294e-06	6.93667848653e-06	1.76408853736e-05	8.2583456513e-05	7.4511073935e-05	0.000118224396238	9.69016957797e-05	0.0	5.46915292275e-07	0.0	0.0	0.0	0.0	0.0	2.92915573237e-07	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__;s__	0.0	6.14642397541e-07	0.0	2.78206679742e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;Other;Other	2.61481773631e-07	7.02448454332e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia;s__	4.35802956051e-07	2.63418170375e-06	4.03498704126e-05	4.97843532171e-06	2.61007480124e-05	2.40143304857e-05	7.14012495219e-06	0.0	7.03176804354e-07	0.0	1.46476021289e-07	2.41415156333e-07	0.0	0.0	0.0	4.25432436118e-07	0.0	6.56315046974e-07	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;Other;Other	0.0	0.0	0.0	0.0	7.14489750061e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__;s__	0.0	0.0	4.38585547963e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;Other;Other	1.74321182421e-07	1.75612113583e-06	2.92390365309e-06	3.47026226837e-05	1.31232811236e-06	1.02918559225e-05	0.0	3.154084727e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__;s__	2.02212571608e-05	2.80979381733e-06	2.06622524818e-05	6.29625643627e-06	5.24931244943e-06	1.55697307545e-05	0.0	5.51964827224e-06	4.68784536236e-07	2.48366863688e-07	3.17852966198e-05	2.41415156333e-06	2.95377943318e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus;Other	0.0	3.51224227166e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus;s__	0.0	1.73855992447e-05	0.0	0.0	0.0	9.76406843926e-06	0.0	9.85651477186e-06	0.0	2.59543372554e-05	0.000260580841874	1.32778335983e-05	7.58715893621e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus;s__obscurus	8.62889852982e-06	0.0	8.77171095926e-07	0.0	0.0	0.0	7.59913298483e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Modestobacter;s__	5.22963547262e-07	1.75612113583e-07	1.05260531511e-05	0.0	2.59549337777e-05	8.97238721445e-06	1.12201963534e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.26500706712e-07	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae;g__Gordonia;s__	1.49916216882e-05	1.37855509163e-05	1.46195182654e-05	3.52883209568e-05	1.80809651036e-05	1.29307933385e-05	9.18016065281e-06	9.85651477186e-08	0.0	3.97386981901e-06	1.46476021289e-07	0.0	1.36105522901e-05	0.0	0.0	1.27629730835e-06	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;Other;Other	0.0	1.8966108267e-05	3.02136710819e-06	5.71055816313e-06	2.50800483695e-05	3.69451238242e-06	4.08007140125e-06	2.26699839753e-06	7.81307560393e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.55346599606e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__;s__	0.0	4.1268846692e-06	2.97263538064e-05	2.48921766085e-06	3.93698433707e-06	1.31946870801e-06	0.0	0.0	0.0	3.72550295532e-07	1.46476021289e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
